diversityId,diversityLabel,branchLengthScale,scenarioId,scenarioLabel,approach,replicates,trueBreakpoints,predictedBreakpoints,truePositive,falsePositive,falseNegative,precision,recall,f1,exactCountRate,falsePositivesPerReplicate,localizationMae,intervalCoverage,meanIntervalWidth,topologyRf,meanWallMs,medianWallMs,p95WallMs,meanFastTreeFreshFits,meanPairwiseDistance,meanVariableSiteFraction,meanParsimonyInformativeFraction,meanEventsPerTriplet,medianEventsPerTriplet,eligibleTripletFraction
gard-low,GARD low-diversity regime (~5% target),0.12,null,No recombination,ranked-window,3,0,145,0,145,0,0,,0,0,48.333333333333336,,,,,9.647326666666535,10.521138000000064,14.16228059999994,0,0.04723034671106394,0.1321111111111111,0.06644444444444444,197.86507936507937,201.16666666666666,1
gard-low,GARD low-diversity regime (~5% target),0.12,null,No recombination,local-hmm-merged,3,0,20,0,20,0,0,,0,0,6.666666666666667,,,,,94.72524533333308,75.91872800000056,152.78523680000015,0,0.04723034671106394,0.1321111111111111,0.06644444444444444,197.86507936507937,201.16666666666666,1
gard-low,GARD low-diversity regime (~5% target),0.12,null,No recombination,stepwise-aicc,3,0,0,0,0,0,,,,1,0,,,,0,3924.9671056666666,3958.215257,4338.800839999999,14.333333333333334,0.04723034671106394,0.1321111111111111,0.06644444444444444,197.86507936507937,201.16666666666666,1
gard-low,GARD low-diversity regime (~5% target),0.12,null,No recombination,tree-hmm-aicc,3,0,0,0,0,0,,,,1,0,,,,0,5142.7484479999985,4827.5537779999995,5828.924801899995,25.666666666666668,0.04723034671106394,0.1321111111111111,0.06644444444444444,197.86507936507937,201.16666666666666,1
gard-low,GARD low-diversity regime (~5% target),0.12,null,No recombination,oracle-aicc,3,0,0,0,0,0,,,,1,0,,,,0,0,0,0,0,0.04723034671106394,0.1321111111111111,0.06644444444444444,197.86507936507937,201.16666666666666,1
gard-low,GARD low-diversity regime (~5% target),0.12,null,No recombination,single-tree,3,0,0,0,0,0,,,,,,,,,0,627.2311823333335,642.1539990000001,689.9227203,1,0.04723034671106394,0.1321111111111111,0.06644444444444444,197.86507936507937,201.16666666666666,1
gard-low,GARD low-diversity regime (~5% target),0.12,one-break,1 breakpoint · 1 NNI,ranked-window,3,3,148,3,145,0,0.02027027027027027,1,0.039735099337748346,0,48.333333333333336,13,,,,2.916910000001129,2.5713980000000447,3.877664300000469,0,0.0423149675253096,0.11722222222222223,0.06188888888888888,179.07142857142858,183.83333333333334,1
gard-low,GARD low-diversity regime (~5% target),0.12,one-break,1 breakpoint · 1 NNI,local-hmm-merged,3,3,18,2,16,1,0.1111111111111111,0.6666666666666666,0.19047619047619047,0,5.333333333333333,27.5,0.6666666666666666,109.22222222222223,,77.6391596666678,76.96197799999936,81.64536020000233,0,0.0423149675253096,0.11722222222222223,0.06188888888888888,179.07142857142858,183.83333333333334,1
gard-low,GARD low-diversity regime (~5% target),0.12,one-break,1 breakpoint · 1 NNI,stepwise-aicc,3,3,5,2,3,1,0.4,0.6666666666666666,0.5,0.6666666666666666,1,27.5,0.6666666666666666,95.77777777777777,0.020296296296296295,3765.828656666666,3915.368208,4666.931457300002,19,0.0423149675253096,0.11722222222222223,0.06188888888888888,179.07142857142858,183.83333333333334,1
gard-low,GARD low-diversity regime (~5% target),0.12,one-break,1 breakpoint · 1 NNI,tree-hmm-aicc,3,3,3,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,0.3333333333333333,39.5,1,97,0.00828826073485911,7574.638564999998,6532.122814999995,10167.6448034,28.333333333333332,0.0423149675253096,0.11722222222222223,0.06188888888888888,179.07142857142858,183.83333333333334,1
gard-low,GARD low-diversity regime (~5% target),0.12,one-break,1 breakpoint · 1 NNI,oracle-aicc,3,3,3,3,0,0,1,1,1,1,0,0,,,0,1424.0977563333315,1059.4624159999948,2121.323027600001,3,0.0423149675253096,0.11722222222222223,0.06188888888888888,179.07142857142858,183.83333333333334,1
gard-low,GARD low-diversity regime (~5% target),0.12,one-break,1 breakpoint · 1 NNI,single-tree,3,0,0,0,0,0,,,,,,,,,0.08209259259259259,730.240093333335,690.4812280000042,909.9270652000017,1,0.0423149675253096,0.11722222222222223,0.06188888888888888,179.07142857142858,183.83333333333334,1
gard-low,GARD low-diversity regime (~5% target),0.12,two-break,2 breakpoints · 1 NNI each,ranked-window,3,6,149,5,144,1,0.03355704697986577,0.8333333333333334,0.06451612903225806,0,48,10.4,,,,9.188847999995536,8.6021999999939,14.729053499992006,0,0.04264362440227847,0.11755555555555557,0.05877777777777778,178.43650793650795,182,1
gard-low,GARD low-diversity regime (~5% target),0.12,two-break,2 breakpoints · 1 NNI each,local-hmm-merged,3,6,16,2,14,4,0.125,0.3333333333333333,0.18181818181818182,0,4.666666666666667,25,0.3333333333333333,134.5079365079365,,81.04996466666246,84.21341499999107,84.53575899999414,0,0.04264362440227847,0.11755555555555557,0.05877777777777778,178.43650793650795,182,1
gard-low,GARD low-diversity regime (~5% target),0.12,two-break,2 breakpoints · 1 NNI each,stepwise-aicc,3,6,7,2,5,4,0.2857142857142857,0.3333333333333333,0.3076923076923077,0.6666666666666666,1.6666666666666667,25,0.3333333333333333,192.2222222222222,0.027574074074074074,3762.240610333329,4022.404590999984,5016.139406500001,18.666666666666668,0.04264362440227847,0.11755555555555557,0.05877777777777778,178.43650793650795,182,1
gard-low,GARD low-diversity regime (~5% target),0.12,two-break,2 breakpoints · 1 NNI each,tree-hmm-aicc,3,6,3,1,2,5,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.3333333333333333,0.6666666666666666,29,0.5,221.5,0.05653561403231969,6331.859284999999,7280.635762999998,8326.356784399992,25.333333333333332,0.04264362440227847,0.11755555555555557,0.05877777777777778,178.43650793650795,182,1
gard-low,GARD low-diversity regime (~5% target),0.12,two-break,2 breakpoints · 1 NNI each,oracle-aicc,3,6,5,5,0,1,1,0.8333333333333334,0.9090909090909091,0.6666666666666666,0,0,,,0.038,1639.0990800000047,1600.696179999999,1770.0252031000068,6,0.04264362440227847,0.11755555555555557,0.05877777777777778,178.43650793650795,182,1
gard-low,GARD low-diversity regime (~5% target),0.12,two-break,2 breakpoints · 1 NNI each,single-tree,3,0,0,0,0,0,,,,,,,,,0.12533333333333332,597.9009933333388,577.2096850000089,650.6042979999984,1,0.04264362440227847,0.11755555555555557,0.05877777777777778,178.43650793650795,182,1
gard-low,GARD low-diversity regime (~5% target),0.12,three-break,3 breakpoints · 1 NNI each,ranked-window,3,9,141,8,133,1,0.05673758865248227,0.8888888888888888,0.10666666666666667,0,44.333333333333336,22,,,,5.381521333333997,2.9939160000067204,9.599021400001948,0,0.047020074479847844,0.13066666666666668,0.06622222222222222,197.03174603174602,204.33333333333334,1
gard-low,GARD low-diversity regime (~5% target),0.12,three-break,3 breakpoints · 1 NNI each,local-hmm-merged,3,9,18,2,16,7,0.1111111111111111,0.2222222222222222,0.14814814814814814,0,5.333333333333333,9,0.2222222222222222,79.19682539682539,,162.4625789999991,153.6648699999787,252.23540890002332,0,0.047020074479847844,0.13066666666666668,0.06622222222222222,197.03174603174602,204.33333333333334,1
gard-low,GARD low-diversity regime (~5% target),0.12,three-break,3 breakpoints · 1 NNI each,stepwise-aicc,3,9,3,0,3,9,0,0,0,0,1,,0,74,0.11098148148148147,4275.156947999999,3496.7684110000264,5635.298170299982,18,0.047020074479847844,0.13066666666666668,0.06622222222222222,197.03174603174602,204.33333333333334,1
gard-low,GARD low-diversity regime (~5% target),0.12,three-break,3 breakpoints · 1 NNI each,tree-hmm-aicc,3,9,1,1,0,8,1,0.1111111111111111,0.2,0,0,47,0.3333333333333333,173,0.1270082339753573,8516.721276999999,8785.12281499998,10492.282279999998,28.666666666666668,0.047020074479847844,0.13066666666666668,0.06622222222222222,197.03174603174602,204.33333333333334,1
gard-low,GARD low-diversity regime (~5% target),0.12,three-break,3 breakpoints · 1 NNI each,oracle-aicc,3,9,2,2,0,7,1,0.2222222222222222,0.36363636363636365,0,0,0,,,0.11572222222222221,2399.0051476666704,2368.5629210000043,2863.8530557999998,8.333333333333334,0.047020074479847844,0.13066666666666668,0.06622222222222222,197.03174603174602,204.33333333333334,1
gard-low,GARD low-diversity regime (~5% target),0.12,three-break,3 breakpoints · 1 NNI each,single-tree,3,0,0,0,0,0,,,,,,,,,0.1534074074074074,697.9098773333341,693.6383599999972,707.1574741999982,1,0.047020074479847844,0.13066666666666668,0.06622222222222222,197.03174603174602,204.33333333333334,1
gard-high,GARD high-diversity regime (~25% target),1.2,null,No recombination,ranked-window,3,0,192,0,192,0,0,,0,0,64,,,,,29.685807666663703,33.23402000000351,43.79780689998588,0,0.23824638207398144,0.4877777777777778,0.34544444444444444,824.5952380952381,832.6666666666666,1
gard-high,GARD high-diversity regime (~25% target),1.2,null,No recombination,local-hmm-merged,3,0,36,0,36,0,0,,0,0,12,,,,,377.7694819999936,342.43338899998344,466.1294492999994,0,0.23824638207398144,0.4877777777777778,0.34544444444444444,824.5952380952381,832.6666666666666,1
gard-high,GARD high-diversity regime (~25% target),1.2,null,No recombination,stepwise-aicc,3,0,1,0,1,0,0,,0,0.6666666666666666,0.3333333333333333,,,,0,8087.636027999998,7195.044128000009,9662.71341469999,29,0.23824638207398144,0.4877777777777778,0.34544444444444444,824.5952380952381,832.6666666666666,1
gard-high,GARD high-diversity regime (~25% target),1.2,null,No recombination,tree-hmm-aicc,3,0,0,0,0,0,,,,1,0,,,,0,6074.7819643333205,5840.599970999989,6492.237253499991,40.333333333333336,0.23824638207398144,0.4877777777777778,0.34544444444444444,824.5952380952381,832.6666666666666,1
gard-high,GARD high-diversity regime (~25% target),1.2,null,No recombination,oracle-aicc,3,0,0,0,0,0,,,,1,0,,,,0,0,0,0,0,0.23824638207398144,0.4877777777777778,0.34544444444444444,824.5952380952381,832.6666666666666,1
gard-high,GARD high-diversity regime (~25% target),1.2,null,No recombination,single-tree,3,0,0,0,0,0,,,,,,,,,0,816.4068136666707,840.2417849999911,896.2391423999971,1,0.23824638207398144,0.4877777777777778,0.34544444444444444,824.5952380952381,832.6666666666666,1
gard-high,GARD high-diversity regime (~25% target),1.2,one-break,1 breakpoint · 1 NNI,ranked-window,3,3,192,3,189,0,0.015625,1,0.03076923076923077,0,63,2,,,,7.540267000003951,5.818232999998145,10.655883300016285,0,0.22301057737868613,0.4676666666666667,0.32866666666666666,785.6626984126984,801.5,1
gard-high,GARD high-diversity regime (~25% target),1.2,one-break,1 breakpoint · 1 NNI,local-hmm-merged,3,3,40,3,37,0,0.075,1,0.13953488372093023,0,12.333333333333334,21.333333333333332,0.6666666666666666,31.86111111111111,,414.55237800000276,424.4588010000298,485.76382650000744,0,0.22301057737868613,0.4676666666666667,0.32866666666666666,785.6626984126984,801.5,1
gard-high,GARD high-diversity regime (~25% target),1.2,one-break,1 breakpoint · 1 NNI,stepwise-aicc,3,3,6,3,3,0,0.5,1,0.6666666666666666,0.3333333333333333,1,21.333333333333332,0.6666666666666666,28.166666666666668,0.0011851851851851852,10878.053841333332,10959.52515999999,11004.739208800027,43.333333333333336,0.22301057737868613,0.4676666666666667,0.32866666666666666,785.6626984126984,801.5,1
gard-high,GARD high-diversity regime (~25% target),1.2,one-break,1 breakpoint · 1 NNI,tree-hmm-aicc,3,3,3,3,0,0,1,1,1,1,0,11.666666666666666,1,69.66666666666667,0.0009993398035279732,10880.752791666668,9804.260926999967,13735.268795000015,52.666666666666664,0.22301057737868613,0.4676666666666667,0.32866666666666666,785.6626984126984,801.5,1
gard-high,GARD high-diversity regime (~25% target),1.2,one-break,1 breakpoint · 1 NNI,oracle-aicc,3,3,3,3,0,0,1,1,1,1,0,0,,,0,1253.954325333325,1250.7704360000207,1314.3868882999695,3,0.22301057737868613,0.4676666666666667,0.32866666666666666,785.6626984126984,801.5,1
gard-high,GARD high-diversity regime (~25% target),1.2,one-break,1 breakpoint · 1 NNI,single-tree,3,0,0,0,0,0,,,,,,,,,0.0870925925925926,1090.9758763333375,816.1042930000112,1640.00896810001,1,0.22301057737868613,0.4676666666666667,0.32866666666666666,785.6626984126984,801.5,1
gard-high,GARD high-diversity regime (~25% target),1.2,two-break,2 breakpoints · 1 NNI each,ranked-window,3,6,192,6,186,0,0.03125,1,0.06060606060606061,0,62,8.166666666666666,,,,5.520783000004788,5.759536000026856,6.3639084999857,0,0.21995104320372172,0.46188888888888885,0.30844444444444447,767.9642857142857,779.6666666666666,1
gard-high,GARD high-diversity regime (~25% target),1.2,two-break,2 breakpoints · 1 NNI each,local-hmm-merged,3,6,40,6,34,0,0.15,1,0.2608695652173913,0,11.333333333333334,26.5,0.16666666666666666,26.712454212454208,,310.49700166665326,310.3246099999524,362.43377840003234,0,0.21995104320372172,0.46188888888888885,0.30844444444444447,767.9642857142857,779.6666666666666,1
gard-high,GARD high-diversity regime (~25% target),1.2,two-break,2 breakpoints · 1 NNI each,stepwise-aicc,3,6,6,5,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,1,0.3333333333333333,21,0.16666666666666666,25.333333333333332,0.009814814814814813,10137.74946499998,10057.990593999973,10451.636128300015,47,0.21995104320372172,0.46188888888888885,0.30844444444444447,767.9642857142857,779.6666666666666,1
gard-high,GARD high-diversity regime (~25% target),1.2,two-break,2 breakpoints · 1 NNI each,tree-hmm-aicc,3,6,4,4,0,2,1,0.6666666666666666,0.8,0.3333333333333333,0,25,0.6666666666666666,139,0.035248982868850094,10810.492427666652,10400.654835999943,12515.082769000071,52.333333333333336,0.21995104320372172,0.46188888888888885,0.30844444444444447,767.9642857142857,779.6666666666666,1
gard-high,GARD high-diversity regime (~25% target),1.2,two-break,2 breakpoints · 1 NNI each,oracle-aicc,3,6,6,6,0,0,1,1,1,1,0,0,,,0,2081.4384373333305,2135.690566999954,2343.0945950000023,6,0.21995104320372172,0.46188888888888885,0.30844444444444447,767.9642857142857,779.6666666666666,1
gard-high,GARD high-diversity regime (~25% target),1.2,two-break,2 breakpoints · 1 NNI each,single-tree,3,0,0,0,0,0,,,,,,,,,0.10994444444444444,694.8530223333122,680.7262509999564,760.8927132999756,1,0.21995104320372172,0.46188888888888885,0.30844444444444447,767.9642857142857,779.6666666666666,1
gard-high,GARD high-diversity regime (~25% target),1.2,three-break,3 breakpoints · 1 NNI each,ranked-window,3,9,192,9,183,0,0.046875,1,0.08955223880597014,0,61,10.11111111111111,,,,12.40119533331987,7.3579079999472015,21.982154700026147,0,0.23839255591175337,0.48633333333333334,0.3471111111111111,822.2222222222223,844.3333333333334,1
gard-high,GARD high-diversity regime (~25% target),1.2,three-break,3 breakpoints · 1 NNI each,local-hmm-merged,3,9,35,5,30,4,0.14285714285714285,0.5555555555555556,0.22727272727272727,0,10,37.8,0,30.999572649572652,,337.7211046666877,297.97220899997046,407.057158100052,0,0.23839255591175337,0.48633333333333334,0.3471111111111111,822.2222222222223,844.3333333333334,1
gard-high,GARD high-diversity regime (~25% target),1.2,three-break,3 breakpoints · 1 NNI each,stepwise-aicc,3,9,8,3,5,6,0.375,0.3333333333333333,0.35294117647058826,0.3333333333333333,1.6666666666666667,36.666666666666664,0,30.916666666666668,0.04224074074074074,10015.337069666712,9972.815541000047,10593.638338200015,42.666666666666664,0.23839255591175337,0.48633333333333334,0.3471111111111111,822.2222222222223,844.3333333333334,1
gard-high,GARD high-diversity regime (~25% target),1.2,three-break,3 breakpoints · 1 NNI each,tree-hmm-aicc,3,9,5,2,3,7,0.4,0.2222222222222222,0.2857142857142857,0,1,31,0.6666666666666666,137.75,0.07270403684251427,10326.931499000018,9823.230870000029,13725.924582300051,46,0.23839255591175337,0.48633333333333334,0.3471111111111111,822.2222222222223,844.3333333333334,1
gard-high,GARD high-diversity regime (~25% target),1.2,three-break,3 breakpoints · 1 NNI each,oracle-aicc,3,9,5,5,0,4,1,0.5555555555555556,0.7142857142857143,0.3333333333333333,0,0,,,0.04274074074074074,2752.314210666693,2810.9894340000465,2864.3171988000395,9.333333333333334,0.23839255591175337,0.48633333333333334,0.3471111111111111,822.2222222222223,844.3333333333334,1
gard-high,GARD high-diversity regime (~25% target),1.2,three-break,3 breakpoints · 1 NNI each,single-tree,3,0,0,0,0,0,,,,,,,,,0.1205925925925926,789.3623330000167,812.6174190000165,819.2191971000052,1,0.23839255591175337,0.48633333333333334,0.3471111111111111,822.2222222222223,844.3333333333334,1
